algorithm,inputType,n,timeNs,maxDepth,comparisons,swaps,recursiveCalls
MergeSort,random,100,35400,4,660,0,15
QuickSort,random,100,33600,3,645,163,9
DeterministicSelect,random,100,88900,3,637,258,9
ClosestPair,random,100,4333200,7,588,0,71
MergeSort,sorted,100,19000,4,244,0,15
QuickSort,sorted,100,29900,3,456,20,11
DeterministicSelect,sorted,100,24300,3,500,258,10
ClosestPair,sorted,100,205800,7,426,0,71
MergeSort,reverse,100,26200,4,724,0,15
QuickSort,reverse,100,26000,3,882,145,7
DeterministicSelect,reverse,100,30600,3,669,258,10
ClosestPair,reverse,100,327000,7,426,0,71
MergeSort,duplicate-heavy,100,23500,4,630,0,15
QuickSort,duplicate-heavy,100,18100,3,568,224,9
DeterministicSelect,duplicate-heavy,100,16100,3,310,113,3
ClosestPair,duplicate-heavy,100,250100,7,574,0,71
MergeSort,random,1000,326900,7,10282,0,127
QuickSort,random,1000,334700,6,10770,3967,95
DeterministicSelect,random,1000,295100,5,7943,3329,46
ClosestPair,random,1000,1446200,10,9328,0,975
MergeSort,sorted,1000,260800,7,3956,0,127
QuickSort,sorted,1000,68800,6,8619,204,95
DeterministicSelect,sorted,1000,170100,5,6238,3267,45
ClosestPair,sorted,1000,246000,10,6018,0,975
MergeSort,reverse,1000,49200,7,10300,0,127
QuickSort,reverse,1000,68800,5,11849,3975,97
DeterministicSelect,reverse,1000,177200,5,7347,2943,38
ClosestPair,reverse,1000,229000,10,6018,0,975
MergeSort,duplicate-heavy,1000,46900,7,9733,0,127
QuickSort,duplicate-heavy,1000,148600,4,52511,3424,10
DeterministicSelect,duplicate-heavy,1000,49100,5,3514,1378,10
ClosestPair,duplicate-heavy,1000,631300,10,9063,0,975
MergeSort,random,10000,893000,11,127054,0,2047
QuickSort,random,10000,786400,8,151392,61624,985
DeterministicSelect,random,10000,477700,6,80599,34310,175
ClosestPair,random,10000,7353800,13,126351,0,8191
MergeSort,sorted,10000,515200,11,59248,0,2047
QuickSort,sorted,10000,682300,8,140873,2188,986
DeterministicSelect,sorted,10000,1312600,6,68030,35849,193
ClosestPair,sorted,10000,2848900,13,77198,0,8191
MergeSort,reverse,10000,1606000,11,93648,0,2047
QuickSort,reverse,10000,203500,7,164169,51843,991
DeterministicSelect,reverse,10000,1875200,6,78172,31807,160
ClosestPair,reverse,10000,2494000,13,77198,0,8191
MergeSort,duplicate-heavy,10000,435300,11,121629,0,2047
QuickSort,duplicate-heavy,10000,2903300,3,5032204,41608,10
DeterministicSelect,duplicate-heavy,10000,137100,6,30918,12738,6
ClosestPair,duplicate-heavy,10000,5757500,13,123277,0,8191
MergeSort,random,100000,6620700,14,1639288,0,16383
QuickSort,random,100000,4936300,10,2056910,854995,9807
DeterministicSelect,random,100000,2809400,8,852331,363514,864
ClosestPair,random,100000,81315900,17,1592038,0,68927
MergeSort,sorted,100000,2409900,14,744016,0,16383
QuickSort,sorted,100000,1242600,11,1770423,21774,9842
DeterministicSelect,sorted,100000,2578700,8,709499,372940,877
ClosestPair,sorted,100000,10786000,17,922830,0,68927
MergeSort,reverse,100000,3378800,14,1208816,0,16383
QuickSort,reverse,100000,2135100,10,2078647,603349,9858
DeterministicSelect,reverse,100000,1826300,8,798554,326868,658
ClosestPair,reverse,100000,6288500,17,922830,0,68927
MergeSort,duplicate-heavy,100000,4000300,14,1562106,0,16383
QuickSort,duplicate-heavy,100000,152326800,3,500428977,359402,10
DeterministicSelect,duplicate-heavy,100000,1245200,8,314889,124318,13
ClosestPair,duplicate-heavy,100000,55869400,17,1561963,0,68927
